#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"Domain ID","Group","Account Status"
"JPGYTAN","GRPSPS","True"
"PZHKGOH","GRPIPZ","True"
"KKCHONG","GRPAS400","True"
"BRKWLOKE","GRPBRM","True"
"PZSLEE","GRPIPZ","True"
"SCCKANG","GRPUOBM","True"
"PZHYYAM","GRPIPZ","True"
"PZWWANG","QUARANTINE","False"
"JPKSCHAI","GRPSPS","True"
"PZALCHEAH","GRPIPZ","True"
"PZJWLOW","GRPIPZ","True"
"PZJWTAN","GRPIPZ","True"
"FBCHTING","GRPSIFB","True"
"FBSXLIM","GRPSIFB","True"
"FBCCTAN","GRPSIFB","True"
"SNKKLIM","GRPSSNIT","True"
"JPTWCHAN1","GRPSPS","True"
"PZFATHI","GRPIPZ","True"
"SNBLKOAY","GRPSSNIT","True"
"CPKPNG","QUARANTINE","False"
"PZPLTAN","GRPIPZ","True"
"PZANISAH","GRPIPZ","True"
"PZSYAZWIN","GRPIPZ","True"
"Testing","SYMGADM","True"
"PZSHAHMIR","GRPIPZ","True"
"PZPUVA","GRPIPZ","True"
"SVYYYEE","GRPV11","True"
"PZJQNG","GRPIPZ","True"
"PZKYWONG","GRPIPZ","True"
"JPCLWONG","GRPSPS","True"
"BRVINAY","GRPBRM","True"
"PZLMTEOH","GRPIPZ","True"
"PZPCCHOW","GRPIPZ","True"
"CPCMLAI","GRPCPS","True"
"SCYCONG","GRPUOBM","True"
"PZJDLU","GRPIPZ","True"
"SOPNURUL","GRPSOPADM","True"
"SOPAMIRAH","GRPSOPADM","True"
"AMREYMARK","GRPMS","True"
"IPMYLEONG","GRPIPZ","True"
"IPSMLEE","GRPIPZ","True"
"FBSLONG","GRPSIFB","True"
"PZKMMAK","GRPIPZ","True"
