#TYPE Selected.Microsoft.ActiveDirectory.Management.ADUser
"Domain ID","Group","Account Status"
"HLSWCHONG","GRPHLB","True"
"HLKYGOH","GRPHLB","True"
"DBKVYEW","GRPCBI","True"
"DBLPTEE","GRPCBI","True"
"SHCYLEONG","GRPV12","True"
"HLYFLIEW","GRPHLB","True"
"HLLSNEO","GRPHLB","True"
"BDZAINE","QUARANTINE","False"
"DBSYLAI","GRPCBI","True"
"HLWMLAM","GRPHLB","True"
"HLOYCHIN","GRPHLB","True"
"BMYZKHOW","GRPBBMB","True"
"HLKHLAW","GRPHLB","True"
"HLDANYYAL","GRPHLB","True"
"DBYLCHAN","GRPCBI","True"
"DBKSCHAN","GRPCBI","True"
"HLCHCHAN","GRPHLB","True"
"DBKHWONG","GRPCBI","True"
"BDBAKAR","GRPBIB","True"
"DBALNG","GRPCBI","True"
"HLSHCHAN","GRPHLB","True"
"HLSHWONG","GRPHLB","True"
"SQSLPANG","SQTF","True"
"ICSCLIM","GRPICB","True"
"SVPSLIM","GRPV11","True"
"HKTAZUDIN","GRPHLB","True"
"DBPAULINE","GRPCBI","True"
"EBKHLIAW","GRPEBS","True"
"DBGMCHONG","GRPCBI","True"
"EBETCHNG","GRPEBS","True"
"DBYTTHING","GRPCBI","True"
"DBSHLEE","GRPCBI","True"
"DBJYYAP","GRPCBI","True"
"SVFAHMI","GRPV11","True"
"SVROHANA","GRPV11","True"
"SVSYAFIQ","GRPV11","True"
"BRSLTOK","GRPBRM","True"
"DBKHLEE","GRPCBI","True"
"HLYKLOO","GRPHLB","True"
"DBRASYHID","GRPCBI","True"
"HLLFLOH","GRPHLB","True"
"DBKALAI","GRPCBI","True"
"PZTKKOH","GRPIPZ","True"
"PZZWSHUM","GRPIPZ","True"
"SQJCWONG","SQTF","True"
"DBSTLEONG","GRPCBI","True"
"DBPSKONG","GRPCBI","True"
"SVBAKAR1","GRPV11","True"
"EBCKCHEW","GRPEBS","True"
"SHLFTEY","GRPV12","True"
"SVARIFF","GRPV11","True"
"SVSHAFIAN","GRPV11","True"
"BRPYCHOONG","GRPBRM","True"
"DBCFLEE","GRPCBI","True"
"DBSHKOH","GRPCBI","True"
"HLCPTHAM","QUARANTINE","False"
"EBIKFONG","GRPEBS","True"
"EBWCLAI","GRPEBS","True"
"EBKWWONG","GRPEBS","True"
"HLWHGOO","GRPHLB","True"
"DBWAN","GRPCBI","True"
"EBLBLIM","GRPEBS","True"
"BDNAZIRUL","GRPBIB","True"
"OMCWONG","GRPOCBCMY","True"
"DBSYLIM","GRPCBI","True"
"BRCYYAP","GRPBRM","True"
"HLBCKOH","GRPHLB","True"
"HLHYKOO","GRPHLB","True"
"HLHATTIM","GRPHLB","True"
"HLCYTAN","GRPHLB","True"
"HLKPLIOW","GRPHLB","True"
"HLSYTEOH","GRPHLB","True"
"HLSHUHAIDI","GRPHLB","True"
"HLOKKHOR","GRPHLB","True"
"HLKWTAN","GRPHLB","True"
"HLSTSEOW","GRPHLB","True"
"HLARIFAH","GRPHLB","True"
"HLHFWONG","GRPHLB","True"
"HLEZREEN","GRPHLB","True"
"HLSMLEANG","GRPHLB","True"
"HLSAKINAH","GRPHLB","True"
"HLCGLEE","GRPHLB","True"
"HLHSLOH","GRPHLB","True"
"HLSLLAU","GRPHLB","True"
"DBZELIEW","GRPCBI","True"
"SMCLTAY","GRPSSMS","True"
"SMASLIZA","GRPSSMS","True"
"SMSWLIM","GRPSSMS","True"
"SMKWCHEAH","GRPSSMS","True"
"SMSSTEAW","GRPSSMS","True"
"SMYJLOW","QUARANTINE","False"
"SMSYUHAIDA","GRPSSMS","True"
"DBRAJKUMAR","GRPCBI","True"
"DBIKHWAN","GRPCBI","True"
"testuser","TestOU","False"
"HLNAFIISAH","QUARANTINE","False"
"DBSYAFIQAH","QUARANTINE","False"
"DBPSYAP","QUARANTINE","False"
"DBCHANDRA","GRPCBI","True"
"DBKBLOKE","GRPCBI","True"
"DBWHLIEW","GRPCBI","True"
"EBKPTAN","GRPEBS","True"
"DBCHTAN","GRPCBI","True"
"DBJOTHONG","GRPCBI","True"
"PZJHTEE","GRPIPZ","True"
"DBCHCHONG","GRPCBI","True"
"RHCARLOS","GRPRHB","True"
"DBADITYA","GRPCBI","True"
"HLHQNG","GRPHLB","True"
"DBNAQIB","GRPCBI","True"
"TSHAMBALY","GRPTFSG","True"
"DBSXONG","GRPCBI","True"
"DBARSYAD","GRPCBI","True"
"HLSJSHEE","GRPHLB","True"
"HLREDZA","GRPHLB","True"
"DBFAKURAZI","GRPCBI","True"
"DBNURUL","GRPCBI","True"
"SOPSSLIM","QUARANTINE","False"
"HLCYCHOY","GRPHLB","True"
"OMGARCIA","GRPOCBCMY","True"
"RHCHANDRA","GRPRHB","True"
"RHBODHI","GRPRHB","True"
"HLCMLIM","GRPHLB","True"
"HLZACHARY","GRPHLB","True"
"HLPARVITRA","GRPHLB","True"
"OMDEEPA","GRPOCBCMY","True"
"OMVERNICE","GRPOCBCMY","True"
